Table 210-06301A : Employed persons by age and sex (excluding foreign domestic helpers),,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Employed persons (excluding foreign domestic helpers) (1),Employed persons (excluding foreign domestic helpers) (1),Employed persons (excluding foreign domestic helpers) (1),Employed persons (excluding foreign domestic helpers) (1),Employed persons (excluding foreign domestic helpers) (1),Employed persons (excluding foreign domestic helpers) (1)
,,,No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%)
Year,Quarter,Age group,,,,,,
2023,,15 - 24,83.7,4.6,81.7,5.3,165.4,4.9
2023,,     15 - 19,9.8,0.5,9.6,0.6,19.5,0.6
2023,,     20 - 24,73.9,4.0,72.1,4.6,145.9,4.3
2023,,25 - 29,169.5,9.3,162.4,10.4,331.9,9.8
2023,,30 - 34,203.2,11.1,175.7,11.3,378.9,11.2
2023,,35 - 39,210.6,11.5,178.5,11.5,389.2,11.5
2023,,40 - 44,218.2,11.9,192.7,12.4,410.9,12.1
2023,,45 - 49,209.5,11.4,190.8,12.3,400.3,11.8
2023,,50 - 54,210.8,11.5,204.1,13.1,414.9,12.3
2023,,55 - 59,203.0,11.1,179.6,11.5,382.5,11.3
2023,,60 and over,323.2,17.6,189.3,12.2,512.6,15.1
2023,,     60 - 64,181.2,9.9,121.4,7.8,302.6,8.9
2023,,     65 and over,142.0,7.8,68.0,4.4,209.9,6.2
2023,,15 and over,1831.8,100.0,1554.9,100.0,3386.7,100.0
2023,Q1,15 - 24,79.2,4.3,82.0,5.3,161.3,4.8
2023,Q1,     15 - 19,8.4,0.5,9.1,0.6,17.4,0.5
2023,Q1,     20 - 24,70.9,3.9,73.0,4.7,143.8,4.3
2023,Q1,25 - 29,171.0,9.4,166.2,10.7,337.2,10.0
2023,Q1,30 - 34,203.1,11.1,176.1,11.4,379.2,11.2
2023,Q1,35 - 39,208.3,11.4,177.8,11.5,386.1,11.4
2023,Q1,40 - 44,215.9,11.8,186.5,12.0,402.4,11.9
2023,Q1,45 - 49,209.9,11.5,191.6,12.4,401.5,11.9
2023,Q1,50 - 54,208.9,11.5,201.6,13.0,410.5,12.2
2023,Q1,55 - 59,204.7,11.2,181.7,11.7,386.4,11.5
2023,Q1,60 and over,321.5,17.6,186.6,12.0,508.2,15.1
2023,Q1,     60 - 64,181.0,9.9,115.9,7.5,297.0,8.8
2023,Q1,     65 and over,140.5,7.7,70.7,4.6,211.2,6.3
2023,Q1,15 and over,1822.6,100.0,1550.1,100.0,3372.7,100.0
2023,Q2,15 - 24,79.2,4.3,77.2,5.0,156.4,4.6
2023,Q2,     15 - 19,7.7,0.4,8.3,0.5,16.0,0.5
2023,Q2,     20 - 24,71.5,3.9,68.9,4.4,140.4,4.2
2023,Q2,25 - 29,169.7,9.3,164.3,10.6,334.0,9.9
2023,Q2,30 - 34,203.0,11.1,177.3,11.4,380.3,11.3
2023,Q2,35 - 39,209.9,11.5,175.1,11.3,385.0,11.4
2023,Q2,40 - 44,219.2,12.0,189.2,12.2,408.4,12.1
2023,Q2,45 - 49,209.9,11.5,195.9,12.6,405.9,12.0
2023,Q2,50 - 54,210.8,11.6,204.5,13.2,415.3,12.3
2023,Q2,55 - 59,202.7,11.1,178.5,11.5,381.2,11.3
2023,Q2,60 and over,316.7,17.4,191.7,12.3,508.4,15.1
2023,Q2,     60 - 64,181.1,9.9,120.4,7.8,301.5,8.9
2023,Q2,     65 and over,135.6,7.4,71.2,4.6,206.9,6.1
2023,Q2,15 and over,1821.2,100.0,1553.6,100.0,3374.8,100.0
2023,Q3,15 - 24,89.5,4.9,82.2,5.3,171.7,5.0
2023,Q3,     15 - 19,12.0,0.7,12.0,0.8,24.0,0.7
2023,Q3,     20 - 24,77.5,4.2,70.1,4.5,147.6,4.3
2023,Q3,25 - 29,167.2,9.1,159.2,10.2,326.3,9.6
2023,Q3,30 - 34,206.2,11.2,177.6,11.3,383.8,11.3
2023,Q3,35 - 39,210.8,11.5,183.9,11.8,394.7,11.6
2023,Q3,40 - 44,216.6,11.8,194.5,12.4,411.1,12.1
2023,Q3,45 - 49,210.2,11.4,193.3,12.4,403.4,11.9
2023,Q3,50 - 54,208.4,11.3,207.4,13.3,415.9,12.2
2023,Q3,55 - 59,201.8,11.0,177.7,11.4,379.5,11.1
2023,Q3,60 and over,328.6,17.9,188.9,12.1,517.6,15.2
2023,Q3,     60 - 64,183.0,10.0,123.1,7.9,306.2,9.0
2023,Q3,     65 and over,145.6,7.9,65.8,4.2,211.4,6.2
2023,Q3,15 and over,1839.3,100.0,1564.7,100.0,3404.0,100.0
2023,Q4,15 - 24,84.1,4.6,79.5,5.1,163.6,4.8
2023,Q4,     15 - 19,10.3,0.6,8.6,0.5,18.9,0.6
2023,Q4,     20 - 24,73.8,4.0,70.9,4.6,144.7,4.3
2023,Q4,25 - 29,168.3,9.2,158.3,10.2,326.6,9.7
2023,Q4,30 - 34,206.1,11.3,173.6,11.1,379.7,11.2
2023,Q4,35 - 39,209.7,11.5,182.4,11.7,392.1,11.6
2023,Q4,40 - 44,216.9,11.9,195.7,12.6,412.6,12.2
2023,Q4,45 - 49,206.0,11.3,187.0,12.0,393.0,11.6
2023,Q4,50 - 54,209.6,11.5,206.5,13.2,416.0,12.3
2023,Q4,55 - 59,201.1,11.0,182.8,11.7,383.9,11.3
2023,Q4,60 and over,322.2,17.7,193.0,12.4,515.1,15.2
2023,Q4,     60 - 64,178.5,9.8,126.4,8.1,304.9,9.0
2023,Q4,     65 and over,143.6,7.9,66.6,4.3,210.2,6.2
2023,Q4,15 and over,1823.9,100.0,1558.7,100.0,3382.6,100.0
2024,Q1,15 - 24,73.6,4.1,74.2,4.8,147.8,4.4
2024,Q1,     15 - 19,8.8,0.5,8.2,0.5,17.0,0.5
2024,Q1,     20 - 24,64.8,3.6,66.0,4.2,130.9,3.9
2024,Q1,25 - 29,164.7,9.2,154.4,9.9,319.1,9.5
2024,Q1,30 - 34,203.4,11.3,177.9,11.5,381.3,11.4
2024,Q1,35 - 39,213.4,11.9,179.2,11.5,392.6,11.7
2024,Q1,40 - 44,215.6,12.0,192.9,12.4,408.5,12.2
2024,Q1,45 - 49,205.0,11.4,187.9,12.1,392.9,11.7
2024,Q1,50 - 54,205.3,11.4,203.2,13.1,408.5,12.2
2024,Q1,55 - 59,198.7,11.0,181.0,11.6,379.7,11.3
2024,Q1,60 and over,320.4,17.8,203.1,13.1,523.4,15.6
2024,Q1,     60 - 64,176.5,9.8,128.7,8.3,305.3,9.1
2024,Q1,     65 and over,143.8,8.0,74.3,4.8,218.2,6.5
2024,Q1,15 and over,1800.0,100.0,1553.8,100.0,3353.8,100.0
2024,Q2,15 - 24,74.7,4.1,73.5,4.7,148.3,4.4
2024,Q2,     15 - 19,8.7,0.5,7.7,0.5,16.3,0.5
2024,Q2,     20 - 24,66.1,3.7,65.9,4.2,131.9,3.9
2024,Q2,25 - 29,160.7,8.9,154.3,9.9,315.0,9.4
2024,Q2,30 - 34,203.0,11.3,182.7,11.7,385.7,11.5
2024,Q2,35 - 39,214.8,11.9,180.5,11.6,395.3,11.8
2024,Q2,40 - 44,217.6,12.1,188.4,12.1,406.0,12.1
2024,Q2,45 - 49,204.4,11.3,187.0,12.0,391.5,11.7
2024,Q2,50 - 54,207.8,11.5,202.2,13.0,409.9,12.2
2024,Q2,55 - 59,197.8,11.0,178.8,11.5,376.6,11.2
2024,Q2,60 and over,322.3,17.9,209.2,13.4,531.5,15.8
2024,Q2,     60 - 64,179.6,10.0,129.7,8.3,309.3,9.2
2024,Q2,     65 and over,142.7,7.9,79.5,5.1,222.2,6.6
2024,Q2,15 and over,1803.0,100.0,1556.6,100.0,3359.7,100.0
 ,,,,,,,,
Note(s):,,,,,,,,
"Number of persons are rounded to the nearest hundred.Figures in the table may not add up to the total due to rounding.For annual estimates less than 1 000 and quarterly estimates less than 3 000, they should be interpreted with caution due to relatively large sampling error.Starting from 2001, annual figures are compiled based on the survey results of the General Household Survey from January to December of the year concerned as well as the mid-year population estimates.",,,,,,,,
1 Employed persons refer to those persons aged 15 and over who have been engaged in performing work for pay or profit during the 7 days before enumeration or who have had formal job attachment. Unpaid family workers and employed persons who were on leave/holiday during the 7 days before enumeration are included.,,,,,,,,
 ,,,,,,,,
Source:,,,,,,,,
"General Household Survey Section (3),Census and Statistics Department(Enquiry telephone no. : 2887 5508 Enquiry e-mail : ghs@censtatd.gov.hk)",,,,,,,,
 ,,,,,,,,
"Release Date: 19 September, 2024",,,,,,,,
