Table 135-08002 : Poverty indicators,,,,,,
 ,,,,,,
 , ,Poor households,Poor population,Poverty rate,Annual total poverty gap,Monthly average poverty gap
,,Number ('000),Number ('000),(%),HK$ million,HK$
Type of policy intervention,Year,,,,,
Before policy intervention (purely theoretical assumption) (1),2009,541.1,1348.4,20.6,25424.4,3900
Before policy intervention (purely theoretical assumption) (1),2010,535.5,1322.0,20.1,25943.0,4000
Before policy intervention (purely theoretical assumption) (1),2011,530.3,1295.0,19.6,26891.7,4200
Before policy intervention (purely theoretical assumption) (1),2012,540.6,1312.3,19.6,28798.4,4400
Before policy intervention (purely theoretical assumption) (1),2013,554.9,1336.2,19.9,30640.4,4600
Before policy intervention (purely theoretical assumption) (1),2014,555.2,1324.8,19.6,32785.4,4900
Before policy intervention (purely theoretical assumption) (1),2015,569.8,1345.0,19.7,35544.7,5200
Before policy intervention (purely theoretical assumption) (1),2016,582.2,1352.5,19.9,38510.3,5500
Before policy intervention (purely theoretical assumption) (1),2017,594.0,1376.6,20.1,41457.5,5800
Before policy intervention (purely theoretical assumption) (1),2018,612.9,1406.5,20.4,44315.5,6000
Before policy intervention (purely theoretical assumption) (1),2019,648.5,1490.7,21.4,48246.2,6200
Before policy intervention (purely theoretical assumption) (1),2020,703.4,1652.5,23.6,53541.6,6300
After policy intervention (recurrent cash) (2),2009,406.3,1043.4,16.0,12790.0,2600
After policy intervention (recurrent cash) (2),2010,405.3,1030.6,15.7,12829.8,2600
After policy intervention (recurrent cash) (2),2011,398.8,1005.4,15.2,13701.2,2900
After policy intervention (recurrent cash) (2),2012,403.0,1017.8,15.2,14807.6,3100
After policy intervention (recurrent cash) (2),2013,384.8,972.2,14.5,15019.6,3300
After policy intervention (recurrent cash) (2),2014,382.6,962.1,14.3,15819.8,3400
After policy intervention (recurrent cash) (2),2015,392.4,971.4,14.3,18152.1,3900
After policy intervention (recurrent cash) (2),2016,412.4,995.8,14.7,19937.0,4000
After policy intervention (recurrent cash) (2),2017,419.8,1008.8,14.7,20576.2,4100
After policy intervention (recurrent cash) (2),2018,434.8,1024.3,14.9,22167.9,4200
After policy intervention (recurrent cash) (2),2019,474.0,1097.8,15.8,24449.8,4300
After policy intervention (recurrent cash) (2),2020,514.9,1210.9,17.3,28559.0,4600
After policy intervention (recurrent + non-recurrent cash) (3),2009,361.2,936.6,14.3,11058.9,2600
After policy intervention (recurrent + non-recurrent cash) (3),2010,354.2,910.0,13.8,10958.3,2600
